127.0.0.1 - - [03/Dec/2018:08:18:08 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:09 +0800] "GET /bos-web/ HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:09 +0800] "GET /bos-web/css/style_grey.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:09 +0800] "GET /bos-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:09 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:10 +0800] "GET /bos-web/images/bg_grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:10 +0800] "GET /bos-web/images/bg_login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:10 +0800] "GET /bos-web/validatecode.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:57 +0800] "GET /bos-web/ HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:57 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 200 267739
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:57 +0800] "GET /bos-web/css/style_grey.css HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:57 +0800] "GET /bos-web/css/style.css HTTP/1.1" 200 23492
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:57 +0800] "GET /bos-web/validatecode.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:58 +0800] "GET /bos-web/images/bg_grey.png HTTP/1.1" 200 5357
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:58 +0800] "GET /bos-web/images/bg_login.jpg HTTP/1.1" 200 531270
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:18:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:07 +0800] "POST /bos-web/userAction_login.action HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/css/default.css HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 200 44396
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 200 296791
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 200 121519
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/images/online.png HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/images/header_bg.png HTTP/1.1" 200 234786
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/icons/cancel.png HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/icons/help.png HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:19:08 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
