127.0.0.1 - - [23/Nov/2018:09:20:47 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:48 +0800] "GET /HeimaShop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:50 +0800] "GET /HeimaShop/product?method=index HTTP/1.1" 200 14620
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:50 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:54 +0800] "GET /HeimaShop/login.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:54 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:54 +0800] "GET /HeimaShop/images/loginbg.jpg HTTP/1.1" 200 97383
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:20:54 +0800] "GET /HeimaShop/images/login.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:21:01 +0800] "POST /HeimaShop/user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:21:01 +0800] "GET /HeimaShop/index.jsp HTTP/1.1" 200 6656
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:21:01 +0800] "POST /HeimaShop/product?method=categoryList HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:29 +0800] "GET /HeimaShop/product?method=productList&cid=1 HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:29 +0800] "GET /HeimaShop/products/1/c_0018.jpg HTTP/1.1" 200 6647
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:29 +0800] "GET /HeimaShop/products/1/c_0013.jpg HTTP/1.1" 200 4782
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:29 +0800] "GET /HeimaShop/products/1/c_0011.jpg HTTP/1.1" 200 7993
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:23:29 +0800] "GET /HeimaShop/products/1/c_0017.jpg HTTP/1.1" 200 13958
